School Short Name,School ID,Website URL
PERSPECTIVES - TECH HS,400062,http://www.pcsedu.org
PETERSON,610127,http://www.peterson.cps.edu/
PHILLIPS HS,609727,http://phillips.cps.edu
PHOENIX MILITARY HS,610304,http://www.phoenixmilitary.org
PICCOLO,610106,http://piccolo.auslchicago.org/
PICKARD,610129,http://www.pickard.cps.edu
PILSEN,610013,http://pilsen.cps.edu
PIRIE,610130,http://pirie.cps.edu
PLAMONDON,610131,http://www.plamondon.org/
PLATO,400068,http://www.Platolearningacademy.org
POE,610132,http://www.poeclassical.com/
POLARIS,400069,http://www.pcachicago.org
PORTAGE PARK,610135,http://www.portageparkschool.org/
POWELL,610281,
PRESCOTT,610136,http://www.prescott.cps.k12.il.us
PRIETO,610533,http://www.prieto.cps.k12.il.us
PRITZKER,610229,http://www.pritzkerschool.org
PROLOGUE - EARLY COLLEGE HS,400070,http://prologueschools.org
PROLOGUE - JOHNSTON HS,400109,http://www.prologueschools.org
PROLOGUE - WINNIE MANDELA HS,610574,http://www.prologueschools.org
PROSSER HS,609679,http://www.prosseracademy.org
PROVIDENCE ENGLEWOOD,400071,http://www.providenceenglewood.org
PRUSSING,610137,http://prussingelementary.org
PULASKI,610138,http://www.pulaskischool.org
PULLMAN,610139,http://www.pullmanschool.org/
RABY HS,610334,http://www.alraby.org
RANDOLPH,609941,http://randolph.cps.edu/
RAVENSWOOD,610141,http://www.ravenswoodelementary.org
RAY,610142,http://ray.cps.edu
REAVIS,610143,http://www.reaviselementaryschool.org/
REILLY,610144,http://www.reillyschool.com
REINBERG,610145,http://www.reinberg.cps.edu
REVERE,610146,
RICHARDS HS,609682,http://www.richardscareeracademy.org
RICKOVER MILITARY HS,610390,http://www.rickovernaval.org
ROBESON HS,609707,http://www.prhs.org
ROBINSON,610256,
ROGERS,610147,http://www.philiprogersschool.org
ROOSEVELT HS,609728,http://rhsroughriders.org
ROWE,400096,http://www.roweelementaryschool.org
RUDOLPH,610308,http://www.rudolph.cps.edu
RUGGLES,610152,http://ruggles.cps.edu
RUIZ,610125,http://www.ruizelementaryschool.org
RYDER,610153,http://ryderschool.org/
SABIN,610342,http://www.sabin.cps.edu
SALAZAR,610250,http://salazar.cps.edu
SANDOVAL,610226,http://www.sandovalelementary.org/
SAUCEDO,610017,http://saucedo.cps.edu
SAUGANASH,610155,http://sauganash.cps.edu/
SAWYER,610157,http://sawyer.cps.edu
SAYRE,610158,http://www.sayre.cps.edu
SCAMMON,610159,http://scammonhusky.org
SCHMID,610178,http://www.schmidchargers.org
SCHUBERT,610165,http://www.schubertes.org
SCHURZ HS,609729,http://www.schurzhs.org
SENN HS,609730,http://www.sennhs.org
SEWARD,610167,http://www.seward.cps.edu
SHABAZZ - DUSABLE HS,400073,http://www.bsics.org
SHABAZZ - SHABAZZ,400072,http://www.bsics.org
SHABAZZ - SIZEMORE,400074,http://www.bsics.org
SHERIDAN,610081,http://marksheridanacademy.org/
SHERMAN,610172,http://sherman.auslchicago.org
SHERWOOD,610173,http://www.sherwood.cps.edu
SHIELDS,610174,http://www.shields.cps.edu
SHIELDS MIDDLE,610559,http://www.shieldsmiddleschool.org
SHOESMITH,610175,http://shoesmith.cps.edu
SHOOP,610176,http://shoop.cps.edu/
SIMEON HS,609692,http://www.simeonca.org
SIMPSON HS,609750,http://www.simpsonacademy.org/
SKINNER,610177,http://www.skinnerwest.cps.edu
SKINNER NORTH,610534,http://www.skinnernorth.org/
SMITH,609978,http://wendellsmithcps.enschool.org/
SMYSER,610179,http://www.smyser.org
SMYTH,610180,http://smythibworld.org/
SOCIAL JUSTICE HS,610383,http://sj.lvlhs.org
SOLOMON,610182,http://solomon.cps.edu
SOLORIO HS,610543,http://solorioacademy.org/
SOUTH LOOP,609990,http://www.southloopschool.net
